r1595
AG13T14g
4OHPROIMINOtc
DDECE1CRNe
FAOXC164_4Z_7Z_10Z_13Zm
MCCCrm
SUBEACTD
HISt4
DNDPt52m
RE2638C
r1559
BUP2
DM_avite2_c_
CRVSATPthc
FAOXC183_6Z_9Z_12Zx
r0129
M4BTAer
r2154
HSD17B42x
r1383
ADPtx
ARABR
3HSMVhep
ORNt4m
r2537
SERDGLYexR
TMDM5hr
TLACFVStev
CYOR_u10m
HSD3B11r
GAPD
DTMPKm
14HMDZhr
MCDm
r2105
FAOXTC162TC142m
DNDPt13m
FAOXC162C142m
G14Tg
r1368
NACHEX14ly
r1770
7THFtm
GLB1
5HOXINDACTO2OX
FE2tm
S6TASE25ly
SQLEr
EX_5adtststerone(e)
OCD11CRNCACT
EX_fum(e)
PUNP6
r2515
r0636
CMPACNAtn
ASNt4
LNLNCGCPT1
r0425
EX_prostgh2(e)
DELACCRVSM23hc
EX_mdz(e)
3ISPVShc
INSTt2r
EX_strdnc(e)
ABO5g
TRPt
VLCS2p
PHEt4
HPYRRy
ABO7g
ACOAHi
FUMAC
FATP6t
ALA-DTDe
ADRNCPT2
RETNtr2
EX_glyphe(e)
r0510
RTOTALCRNCPT1
HEXDIACTD
FAOXC143C123x
r1262
TAURt4_2_r
DNADtn
NACHEXA9ly
EX_hexc(e)
MDZGLChr
C102CPT1
NACHEX22ly
LSTO2r
SMVthep
DNDPt8m
6THFtm
FAOXC101C8x
STRDNCt
r1632
EX_adprib(e)
r2102
r1656
CO2tm
r2103
RE3242C
HPETFABP1tc
UMPK3
r0480
TYRATB0tc
r0424
FAOXC162_7Z_10Zm
EX_caribup_s(e)
EX_fucgalfucgalacglcgalgluside_hs(e)
DNDPt37m
r0834
41R2A1H12BOOX
EX_aflatoxin(e)
r1930
ASNtN1
OXYP2CONJ
ALAASNNaEx
PSP_L
PHACCOAGLNAC
FE2t
RE1521X
31DMTtep
r2358
r1043
CLS_hs
NADPHtru
EX_h2o(e)
MG2er
OCTDEC2ACBP
LAPCOAe
r1998
RSVLACteb
LCYSTCBOXL
FAOXC24C22x
C60CRNt
RSVLACitr
EX_ala_L(e)
CHOLESTTDe
HXt
r1746
r0399
FAH3
RE1135C
r1706
RE1903R
r0191
DNDPt41m
HMBS
DOCO13EFATP
TSULt4_3
CYTK1
C161OHc
NDPK6n
EX_gmp(e)
r2402
EX_nrpphrsf(e)
EX_taxol(e)
FAS180COA
r1782
EX_arachd(e)
EX_akg(e)
PGI
NDP10ex
FAOXC10DCC8DCx
COUMARINte
r1000
GLYC3PFADm
7AHGLZtev
HMGCOASi
EX_g1p(e)
UMPK4
HPYRtp
PACCOAL
FORtr
r2484
SERGLNexR
ACACT1rm
MMEm
CRTSTRNt
NACASPAH
TYRt4
H2Otn
4HATVLACitr
TCHOLAtx
NTD4
DOLP_Uter
MG1er
EX_dcsptn1(e)
ORNALArBATtc
EX_6csmvacid(e)
EX_7hpvs(e)
FUT16g
SPC_HSt
TMDM1OATt
C6CRNtcx
BHBtm
AM1C9CStev
RE3139X
DDECCRNe
INOSTO
r1614
r2101
SERPT
PRGNLONESULT
GLYCTO1p
r1643
FRDPtc
r0617
3SALATAim
r1912
EX_2hatvlacgluc(e)
FBA
EX_din(e)
PTVSTGLUChc
r2272
EX_gthrd(e)
r1984
EX_34hpp_
ASNGLNNaEx
r0339
RE3120C
