GLCAASE9ly
r1643
NACHEX14ly
r1798
PEAMNO
r2180
ASPGLUm
CYTDK2m
PI45PLC
r1466
RE0944E
r2212
ESTSULT
SUBERICACT
FA160ACPH
EX_acac(e)
RE3141X
r1950
r1392
NDPK1
CYANtm
EX_1513tacr(e)
r1897
CYSGLNNaEx
ASNGLNNaEx
r0717
GLYC3PFADm
r0729
APOC_LYS_BTNP
TRIODTHYt2
ALDD2x
r2403
BUTt2r
AGTim
SIAT9g
URATEtx
TLACFVShc
EX_leuktrC4(e)
C81CRNe
r1949
RE3003M
DSPVSteb
UGT1A10r
r2002
TACRDtsc
EX_c6crn_
r1464
PTVSTM3itr
SPHS1Ptr
r2287
r1779
NACDe
r2056
13DAMPPOX
r1008
r1813
r2053
CAT2p
r0695
FAOXC201181x
PI3P4Kn
INSt
RE3236C
DESAT22_1p
EX_HC02191(e)
NCAMDe
ALLOPtepvb
r0242
r2532
NADPNe
HMGCOARc
GLZABCteb
LSTO1r
SUCCt4_2
G14T4g
AG13T15g
PPPGOm
VACCCPT1
r2131
FUT910g
GLYt2r
6HSMVitr
r0409
IBUPGLUCtpvb
DTTPtm
ACCOAL
AM1C9CSitr
ILETA
CYTK14
r2012
ACP1_FMN_
LEULEUPEPT1tc
r2371
PPCOACm
BILGLCURte
URATEt
r0644
r2080
EX_2mcit(e)
M13N4Tg
r0047
EX_taxol(e)
HPCLx
FAS100COA
r1181
r0801
5MTHFt2
FATP8t
OCD11CRNCACT
RE0567C
GCCcm
Rtotaltl
FUT17g
r2325
TACRitr
XYLTD_Dr
PEt
r1569
PGS
MEOHt2
4ABUTtm
DNDPt22m
EPOXTACitr
SERCYSNaEx
11DOCRTSTRNtm
FAOXC163C164Gm
r0989
H2O2syn
EX_prostge1(e)
LACLt
r1922
PVSGLUCteb
r2151
NAtx
CYTK8n
THFtl
PAPStg
NBAHH_ir
OXYPtepv
NRPPHRVESSEC
ALASERNaEx
ARACHDtr
GALSIDEtg
r1888
r1851
r1968
r2082
ACACT7p
C161CPT2
ACMPthc
r2319
r1013
FUT94g
r1472
DGK2m
FATP2t
RE0453N
AHCYStr
RE3016R
r2173
r1024
6BHGLZGLChr
EX_crvsm23(e)
r2043
ESTRAABCtc
r1559
ILEt5m
EX_sucr(e)
FAOXC227C226m
r1368
r2471
r1383
RE1530C
FAOXC184C164x
PAN4PP
EX_urea(e)
GALGT1
ESTRADIOLtr
C180CPT2
RE0453C
UGT1A5r
LSTNM2hr
RE2972M
GALt4
TAXOLte
THMMPt4
DESFVSitr
CHSTEROLtrc
NACHEX12ly
SPH1Ptr
EX_HC02161(e)
EX_s3meacmp(e)
P45027A16m
FAOXC165C164m
THCHOLSTOICtm
Coqe
GASNASE3ly
PEFLIP
CYTK12n
PHEtec
LEUt5m
EX_dtdp(e)
UDPGLCter
PROB0AT2tc
r1171
RE3268R
RE1525M
r0165
GUMGCHLe
S6T6g
ASNSERNaEx
HTDCRNe
VLCSp
CRNCAR3tp
r2241
HISTAVESSEC
HSD3B11r
EX_cysacmp(e)
FAOXC225C204m
4ABUTtcn
URCN
EX_HC00822(e)
UMPK6
r2101
RE2405C
RE3244C
FVSTETtev
FUMtm
RIBFLVt3
r2495
FAOXC163GC142m
FAOXC8060m
r1631
r0120
GAMYe
r1177
r2112
6CSMVitr
HYPTROX
DNDPt61m
PItg
r2343
HMGCOASim
r0714
ACACT1x
H2ETer
r2159
FAOXC101_4Em
r0678
EX_3tetd7ecoacrn_
FADDP
FAOXC260240x
NACHEXA9ly
FADH2tx
EX_hista(e)
DOLDPP_Uer
6MELVSTitr
XYLK
r1844
EX_smvacid(e)
RE2626M
EX_ncam(e)
DM_pmtcoa(r)
FE3R2e
ADNK1m
4HBZCOAFm
EX_mag_hs(e)
H7ET2er
r0649
CRVS23M24hc
r2011
r2506
r2272
r0511
EX_fvstetglu(e)
FAOXC165C164x
ALCD1
DCSPTN1CPT2
GUACYC
RE1522M
CHOLK
RE2989X
3HSMVACIDhep
ASPDt6
C16txc
DURIPP
CSAtd
FAOXC9BRC7BRm
ENGASE3ly
RE1897C
NTD8
TIGCRNe
5ADTSTSTERONEGLCte
AACOAT
CYTK5
ENGASEly
DNDPt5m
r1552
r1890
GLRASE
CMPACNAtn
C182OHc
C226CRNt
r2260
r0731
q10tm
r1665
r0754
OCOAT1m
CSNATr
HSD3B11
TSTSTERONEt
SEBACIDTD
r1762
IDHPOXOX3
FCOAH
S6TASE19ly
r2225
15DMTitr
G14T7g
NADPtru
ST6GALNAC31
FAOXC2251836x
r2183
DOPAVESSEC
METB0AT3tc
EX_strch2(e)
4PYRDX
EX_retinol(e)
EX_dad_2(e)
r1946
THYOXt
r2022
FATP5t
RADH
GALASE18ly
PCHOLABCtc
r2121
3ISPVSthc
RE3270C
r1642
3SALATAi
r0672
AMETt2m
MMTSADm
P45017A2r
r2499
GALACGLCGALGBSIDEte
BALAVECSEC
r2190
LNLNCGt
r1885
PGISr
RE3000M
EX_Tyr_ggn(e)
FAOXC164m
r0629
RE1835C
AVITE2t
FUCGALGBSIDEte
ABUTt2r
FAOXC2251836m
MALTSULtm
FAOXC160140m
PPAt
EX_lstnm1(e)
r0968
r2400
FAOXC226C227m
r2314
C81CPT1
r0722
H2Otly
SR5ARr
EX_tcynt(e)
r2095
PVSATPtu
r1815
r0909
r2394
DCSPTN1COAtxc
G14T8g
6OHFVSGLUitr
r2281
HPDCACRNCPT1
r0191
GRTTx
r1698
r2030
ACOAD1fm
MANt4
B3GNT35g
FAOXC183_6Z_9Z_12Zm
LYStip
r2182
4MOPte
DM_datp_n_
r1785
RE3076X
CHOLtn
r0354
EX_rib_D(e)
EX_ppi(e)
r1517
FACOAL191
EX_deoxfvs(e)
3HLVSTAChep
DGULND
C162ACBP
P45019A2r
PNTK
ARGDCm
r0839
MCD
EX_3octdeccrn_
3HPVSthc
ALAALAPEPT1tc
EX_psyltchol(e)
G14T2g
GALASE14ly
fumt
GALASE12ly
NACHEX22ly
HEX10
r0246
DUTPDPm
ILEB0AT3tc
PPAm
FAOXC246226x
EX_CE2839(e)
PSYGCHe
FAOXC225m
LSTN1GLUChr
EX_dpcoa(e)
C120CRNt
L_LACDcm
TYRTA
HCOUMARINte
Htx
PCHOLPg_hs
CATp
r1010
r1846
RE0915E
EX_lnlnca(e)
TRIPVSitr
r0016
FUCGALGBSIDEtg
VACCCPT2
RE3006M
FAOXC163C143m
r1001
EX_ddca(e)
r1800
EX_3ddcrn_
r0179
r0426
14MDZtev
r1953
DNDPt47m
DASPO1p
2HATVLACthc
r1716
IBUPGLUCtchep
PGLYCt
MHGLZhr
LVSTACIDitr
GLUDxm
ADPCOAPTE
r1995
FACOAL1821
r1916
5ADTSTSTERONESULT
EX_andrstrnglc(e)
r2255
PTVSTM3hc
GT1Atg
EX_adp_
TRPO2
GALU
PGMT
EX_inost(e)
PAFS
7BHGLZtev
DM_fol
HIVCRNe
ACACT4p
MANt1r
SCP21cx
GLPASE1
PI4PP
C181CPT1
P45011B21m
r0384
RE3251C
r1958
EX_co(e)
FUT14g
EX_malthp(e)
AG13T1g
BETBGTtc
S6T18g
6OHFVSitr
SEBACACT
COAtp
NAt
UMPtr
XOLTRI24te
BGLUTCHLe
EX_tmdm3(e)
EX_ha(e)
EX_9_cis_retfa(e)
